return_id,order_id,sku,return_date,return_reason,refund_amount,refund_status
RET002735,ORD0019149,SKU002031,2025-08-08,Delayed delivery,1123.05,Pending
RET002736,ORD0107754,SKU000733,2026-06-24,different sku received,136.42,Pending
RET002737,ORD0015084,SKU002421,2025-04-06,poor quality,303.19,Processed
RET002738,ORD0034580,SKU008242,2025-08-04,not durable,892.0,Processed
RET002739,ORD0016359,SKU007056,2026-12-05,not durable,855.23,Processed
RET002740,ORD0060503,SKU000207,2025-05-23,Delayed delivery,375.77,Processed
RET002741,ORD0002629,SKU008184,2026-01-21,ordered by mistake,1082.51,Processed
RET002742,ORD0093873,SKU008074,2025-06-20,Doesn't fit properly,215.01,Rejected
RET002743,ORD0114168,SKU005436,2025-09-28,item damaged,227.73,Processed
RET002744,ORD0017826,SKU008802,2025-02-08,wrong colour delivered,337.66,Processed
RET002745,ORD0119166,SKU004795,2025-02-17,defective piece,646.88,Processed
RET002746,ORD0064152,SKU003383,2026-01-16,too tight,1147.33,Processed
RET002747,ORD0068094,SKU006850,2026-03-30,arrived damaged!!,2788.62,Processed
RET002748,ORD0071098,SKU004290,2026-07-20,broken on arrival,333.54,Rejected
RET002749,ORD0040544,SKU004378,2025-09-14,found cheaper elsewhere,887.35,Processed
RET002750,ORD0101195,SKU010253,2025-05-10,size chart misleading,210.29,Processed
RET002751,ORD0109136,SKU011993,2025-06-01,wrong size ordered,921.85,Processed
RET002752,ORD0015113,SKU005839,2025-03-16,no longer needed,125.68,Pending
RET002753,ORD0113227,SKU003303,2026-11-24,SIZE PROBLEM,1378.89,Processed
RET002754,ORD0088040,SKU009386,2026-03-10,too tight,1278.99,Processed
RET002755,ORD0061122,SKU008692,2025-10-30,wrong colour delivered,795.41,Pending
RET002756,ORD0043917,SKU003932,2025-07-25,Doesn't fit properly,171.62,Processed
RET002757,ORD0027322,SKU008889,2025-12-05,Doesn't fit properly,410.32,Processed
RET002758,ORD0038582,SKU000713,2025-10-27,SIZE PROBLEM,560.74,Pending
RET002759,ORD0091571,SKU003115,2025-08-24,fabric quality bad,517.2,Pending
RET002760,ORD0077300,SKU008424,2025-11-29,size too small,1792.84,Processed
RET002761,ORD0079205,SKU009950,2026-06-18,SIZE PROBLEM,153.68,Processed
RET002762,ORD0036356,SKU004753,2026-05-14,found cheaper elsewhere,227.32,Processed
RET002763,ORD0095201,SKU003856,2026-03-09,not as described,330.47,Processed
RET002764,ORD0064686,SKU008896,2025-07-14,packaging torn item broken,92.79,Processed
RET002765,ORD0055874,SKU010737,2025-09-24,poor quality,811.75,Rejected
RET002766,ORD0070792,SKU003098,2025-11-03,fabric quality bad,265.3,Processed
RET002767,ORD0083540,SKU003730,2025-10-15,found cheaper elsewhere,401.6,Processed
RET002768,ORD0117473,SKU007826,2026-04-07,Delayed delivery,327.05,Processed
RET002769,ORD0067370,SKU001497,2026-11-03,different sku received,301.35,Pending
RET002770,ORD0038867,SKU010434,2025-12-19,Damaged in transit,1093.46,Processed
RET002771,ORD0048755,SKU011070,2026-03-02,fabric quality bad,3806.28,Processed
RET002772,ORD0102299,SKU000391,2025-08-11,Quality issue,1034.01,Processed
RET002773,ORD0087974,SKU010809,2026-12-10,SIZE PROBLEM,930.59,Processed
RET002774,ORD0116046,SKU007853,2025-11-06,no longer needed,562.64,Processed
RET002775,ORD0068458,SKU002841,2025-08-26,Damaged in transit,817.29,Processed
RET002776,ORD0006375,SKU008491,2026-11-06,not as described,100.7,Processed
RET002777,ORD0057202,SKU001625,2025-11-17,size too small,334.26,Processed
RET002778,ORD0067314,SKU002444,2025-08-20,poor quality,2023.88,Processed
RET002779,ORD0098528,SKU004285,2025-04-22,found cheaper elsewhere,1391.55,Processed
RET002780,ORD0035849,SKU002191,2025-03-20,not as described,1243.93,Processed
RET002781,ORD0077554,SKU001966,2026-01-01,looks different online,369.04,Processed
RET002782,ORD0085882,SKU006821,2026-12-09,packaging torn item broken,2164.86,Processed
RET002783,ORD0072540,SKU009553,2025-05-22,not working,906.28,Pending
RET002784,ORD0060633,SKU007211,2025-08-30,Doesn't fit properly,1113.73,Processed
RET002785,ORD0047696,SKU009421,2025-11-19,no longer needed,868.55,Processed
RET002786,ORD0003193,SKU004493,2025-03-23,Damaged in transit,230.07,Processed
RET002787,ORD0103551,SKU006717,2026-01-24,Quality issue,934.31,Processed
RET002788,ORD0027882,SKU004194,2025-10-04,found cheaper elsewhere,1246.0,Processed
RET002789,ORD0042173,SKU004222,2025-08-13,didnt fit,790.1,Processed
RET002790,ORD0080581,SKU009322,2025-04-20,size chart misleading,320.2,Processed
RET002791,ORD0104176,SKU003324,2025-05-05,wrong size ordered,1199.89,Processed
RET002792,ORD0084074,SKU009043,2026-02-05,changed my mind,367.39,Processed
RET002793,ORD0019266,SKU000560,2026-03-13,item damaged,1159.85,Processed
RET002794,ORD0059763,SKU001397,2025-05-04,different from website photo,264.41,Processed
RET002795,ORD0090434,SKU005268,2026-11-24,Damaged in transit,206.45,Processed
RET002796,ORD0027587,SKU004217,2025-11-25,found cheaper elsewhere,713.01,Processed
RET002797,ORD0016129,SKU012325,2026-02-01,arrived damaged!!,676.24,Rejected
RET002798,ORD0026636,SKU009377,2025-07-05,packaging torn item broken,282.0,Pending
RET002799,ORD0021229,SKU012015,2025-08-26,delivered too late,217.55,Processed
RET002800,ORD0047648,SKU001161,2026-11-09,broken on arrival,198.07,Processed
RET002801,ORD0077715,SKU008395,2026-01-05,Not what I ordered,645.97,Processed
RET002802,ORD0108277,SKU002560,2026-10-24,ordered by mistake,365.57,Pending
RET002803,ORD0011986,SKU001849,2026-04-02,not durable,873.18,Processed
RET002804,ORD0071998,SKU000082,2025-08-07,wrong item sent,1051.4,Pending
RET002805,ORD0029119,SKU010984,2025-11-01,cheap material,432.81,Processed
RET002806,ORD0049148,SKU011534,2025-12-20,different from website photo,624.32,Processed
RET002807,ORD0005087,SKU003074,2025-07-23,SIZE PROBLEM,87.03,Processed
RET002808,ORD0016313,SKU009225,2025-09-22,Damaged in transit,645.9,Processed
RET002809,ORD0059883,SKU007340,2026-04-27,not durable,1688.5,Processed
RET002810,ORD0045017,SKU012051,2025-06-29,not as described,218.56,Processed
RET002811,ORD0083404,SKU011539,2026-02-01,cheap material,927.73,Processed
RET002812,ORD0023402,SKU010603,2026-01-30,ordered by mistake,1552.1,Processed
RET002813,ORD0060027,SKU004459,2025-06-23,Not what I ordered,599.35,Pending
RET002814,ORD0028742,SKU007634,2026-06-07,Delayed delivery,266.72,Processed
RET002815,ORD0062259,SKU010351,2026-04-06,late delivery no longer needed,1807.39,Processed
RET002816,ORD0029166,SKU000938,2025-10-15,battery dead,368.63,Processed
RET002817,ORD0049649,SKU007581,2026-01-19,different from website photo,809.41,Processed
RET002818,ORD0064272,SKU002680,2026-06-23,broken on arrival,128.89,Processed
RET002819,ORD0017832,SKU010689,2025-04-27,dont want it now,321.05,Processed
RET002820,ORD0044526,SKU009356,2025-08-14,too tight,1793.28,Pending
RET002821,ORD0095992,SKU002701,2025-06-17,item damaged,475.27,Processed
RET002822,ORD0044315,SKU010072,2025-09-12,misleading description,1792.51,Processed
RET002823,ORD0079781,SKU003738,2026-05-23,Size issue,463.39,Pending
RET002824,ORD0106832,SKU006878,2026-01-05,late delivery no longer needed,286.43,Pending
RET002825,ORD0021616,SKU010117,2026-05-16,Doesn't fit properly,902.28,Processed
RET002826,ORD0072682,SKU011831,2025-08-25,wrong size ordered,335.86,Processed
RET002827,ORD0028741,SKU008528,2025-07-25,SIZE PROBLEM,535.75,Processed
RET002828,ORD0051568,SKU000351,2026-01-23,item damaged,866.3,Processed
RET002829,ORD0014636,SKU002933,2026-02-02,SIZE PROBLEM,2200.77,Processed
RET002830,ORD0113569,SKU005639,2025-02-17,size chart misleading,573.48,Processed
RET002831,ORD0048611,SKU004177,2026-02-20,wrong item sent,717.51,Processed
RET002832,ORD0068136,SKU010127,2026-03-22,Doesn't fit properly,590.32,Processed
RET002833,ORD0080433,SKU008174,2026-06-27,packaging torn item broken,44.36,Processed
RET002834,ORD0077595,SKU001406,2026-05-28,wrong item sent,801.22,Processed
RET002835,ORD0066581,SKU008123,2026-04-29,changed my mind,1233.67,Processed
RET002836,ORD0046891,SKU011562,2026-04-16,arrived damaged!!,1002.98,Processed
RET002837,ORD0027131,SKU007205,2025-07-31,Size issue,3368.49,Pending
RET002838,ORD0063827,SKU008785,2025-03-10,Size issue,287.61,Processed
RET002839,ORD0061896,SKU007486,2025-06-30,defective piece,682.91,Processed
RET002840,ORD0005149,SKU003936,2026-04-17,Not what I ordered,3464.32,Processed
RET002841,ORD0092921,SKU008842,2025-05-27,size too small,740.15,Processed
RET002842,ORD0074715,SKU002019,2025-06-28,size too small,491.51,Processed
RET002843,ORD0065064,SKU005417,2025-04-01,not as described,882.36,Processed
RET002844,ORD0085556,SKU003881,2025-05-14,arrived after event,739.31,Processed
RET002845,ORD0039264,SKU003473,2025-01-16,quality not as expected,394.85,Processed
RET002846,ORD0039270,SKU011765,2025-12-27,too tight,282.42,Processed
RET002847,ORD0001591,SKU010925,2025-03-07,found cheaper elsewhere,944.88,Processed
RET002848,ORD0096771,SKU010875,2025-10-30,not durable,108.58,Pending
RET002849,ORD0098419,SKU006981,2025-04-17,misleading description,764.31,Processed
RET002850,ORD0059542,SKU003332,2025-09-28,Delayed delivery,469.14,Processed
RET002851,ORD0064427,SKU002730,2026-02-27,Size issue,479.35,Processed
RET002852,ORD0079784,SKU012452,2026-07-01,fabric quality bad,1771.97,Processed
RET002853,ORD0078261,SKU003839,2025-04-12,product was cracked,238.46,Processed
RET002854,ORD0016688,SKU003189,2025-06-12,packaging torn item broken,1061.28,Processed
RET002855,ORD0027755,SKU007489,2026-02-12,too tight,182.72,Processed
RET002856,ORD0115728,SKU012246,2026-05-24,arrived damaged!!,594.43,Processed
RET002857,ORD0019310,SKU001258,2026-05-22,arrived after event,197.04,Processed
RET002858,ORD0082183,SKU006863,2026-03-02,received different product,836.28,Processed
RET002859,ORD0096597,SKU001502,2026-01-16,arrived damaged!!,177.08,Processed
RET002860,ORD0012879,SKU003561,2025-07-30,not working,293.75,Rejected
RET002861,ORD0068397,SKU004415,2026-03-08,misleading description,1634.11,Processed
RET002862,ORD0102253,SKU005533,2025-04-17,Damaged in transit,473.74,Processed
RET002863,ORD0017015,SKU008166,2025-05-23,Doesn't fit properly,793.78,Pending
RET002864,ORD0038897,SKU000093,2026-06-18,delivered too late,225.87,Processed
RET002865,ORD0065913,SKU003278,2025-06-17,broken on arrival,276.31,Processed
RET002866,ORD0089698,SKU007705,2026-02-24,arrived damaged!!,1264.4,Processed
RET002867,ORD0094254,SKU006813,2025-11-07,Delayed delivery,1067.5,Processed
RET002868,ORD0108013,SKU010480,2025-08-26,dont want it now,1041.85,Pending
RET002869,ORD0068938,SKU000817,2026-06-22,dont want it now,1191.71,Processed
RET002870,ORD0096592,SKU008556,2025-10-23,looks different online,436.93,Processed
RET002871,ORD0064803,SKU005989,2025-05-09,wrong colour delivered,441.33,Rejected
RET002872,ORD0037569,SKU006447,2025-12-28,different from website photo,332.98,Processed
RET002873,ORD0060993,SKU010087,2026-10-14,item damaged,282.72,Processed
RET002874,ORD0081828,SKU012251,2025-06-22,different sku received,635.04,Processed
RET002875,ORD0022101,SKU007543,2026-03-07,late delivery no longer needed,78.28,Pending
RET002876,ORD0117504,SKU008672,2025-12-27,Doesn't fit properly,1474.62,Processed
RET002877,ORD0080649,SKU004199,2025-11-24,delivered too late,624.82,Processed
RET002878,ORD0074984,SKU002369,2026-04-11,product was cracked,691.56,Processed
RET002879,ORD0088850,SKU004926,2025-05-31,didnt fit,451.17,Processed
RET002880,ORD0028008,SKU007969,2025-05-19,product was cracked,364.19,Processed
RET002881,ORD0021150,SKU005399,2025-02-19,didnt fit,413.68,Processed
RET002882,ORD0090433,SKU003522,2025-03-24,wrong colour delivered,296.39,Processed
RET002883,ORD0092427,SKU011255,2025-12-24,arrived after event,1578.06,Processed
RET002884,ORD0026566,SKU003978,2026-05-11,Quality issue,366.99,Processed
RET002885,ORD0077379,SKU001467,2025-07-30,wrong colour delivered,233.93,Processed
RET002886,ORD0078442,SKU008846,2025-02-16,didnt fit,253.48,Processed
RET002887,ORD0000748,SKU011679,2026-03-07,packaging torn item broken,77.26,Processed
RET002888,ORD0017366,SKU011313,2026-05-27,wrong colour delivered,1169.95,Processed
RET002889,ORD0097414,SKU003313,2025-08-12,not as described,1303.78,Processed
RET002890,ORD0037773,SKU007677,2026-06-15,didnt fit,595.09,Processed
RET002891,ORD0000577,SKU003483,2025-08-27,fabric quality bad,1310.79,Processed
RET002892,ORD0055874,SKU004969,2025-10-01,arrived damaged!!,325.64,Processed
RET002893,ORD0036282,SKU001076,2026-05-29,colour different from image,507.95,Rejected
RET002894,ORD0072572,SKU004285,2026-05-14,wrong size ordered,308.27,Processed
RET002895,ORD0001569,SKU004916,2025-06-16,received different product,361.15,Processed
RET002896,ORD0104200,SKU000239,2026-03-01,not working,379.54,Processed
RET002897,ORD0090083,SKU000768,2025-09-05,broken on arrival,805.95,Processed
RET002898,ORD0114979,SKU011679,2025-12-08,found cheaper elsewhere,252.61,Processed
RET002899,ORD0031864,SKU010126,2025-07-28,packaging torn item broken,1129.82,Processed
RET002900,ORD0095299,SKU011802,2026-04-01,broken on arrival,411.09,Processed
RET002901,ORD0097604,SKU000439,2026-10-23,battery dead,547.83,Processed
RET002902,ORD0081737,SKU006690,2026-01-12,wrong item sent,40.42,Processed
RET002903,ORD0103323,SKU009197,2026-07-27,received different product,641.09,Processed
RET002904,ORD0015606,SKU010012,2025-09-05,poor quality,2093.8,Processed
RET002905,ORD0050010,SKU006078,2025-12-15,dont want it now,421.98,Processed
RET002906,ORD0052110,SKU009195,2025-02-23,broken on arrival,708.28,Processed
RET002907,ORD0028831,SKU010796,2025-12-09,wrong size ordered,2436.46,Processed
RET002908,ORD0116506,SKU012399,2025-01-27,no longer needed,309.5,Processed
RET002909,ORD0068305,SKU012091,2025-07-03,different from website photo,520.25,Rejected
RET002910,ORD0115080,SKU004820,2025-03-18,wrong colour delivered,330.23,Processed
RET002911,ORD0116071,SKU001620,2026-03-27,Doesn't fit properly,176.28,Processed
RET002912,ORD0077479,SKU008027,2026-04-20,Doesn't fit properly,518.22,Processed
RET002913,ORD0052080,SKU007728,2025-11-21,dont want it now,1022.07,Processed
RET002914,ORD0079326,SKU004649,2025-05-17,product was cracked,707.53,Processed
RET002915,ORD0086337,SKU007490,2025-09-28,product was cracked,492.17,Processed
RET002916,ORD0087243,SKU006488,2026-06-21,SIZE PROBLEM,344.68,Processed
RET002917,ORD0079404,SKU007109,2026-10-13,Not what I ordered,1346.51,Processed
RET002918,ORD0003596,SKU007813,2025-04-08,defective piece,100.73,Processed
RET002919,ORD0076138,SKU007377,2025-11-04,fabric quality bad,257.02,Processed
RET002920,ORD0111551,SKU001895,2025-02-20,stopped working after a day,360.97,Processed
RET002921,ORD0087243,SKU002667,2026-06-20,wrong colour delivered,2555.29,Processed
RET002922,ORD0053228,SKU007341,2025-07-05,size chart misleading,258.51,Processed
RET002923,ORD0025542,SKU004512,2025-02-19,cheap material,633.65,Processed
RET002924,ORD0023636,SKU001999,2025-07-25,size chart misleading,790.68,Processed
RET002925,ORD0116793,SKU012494,2025-09-05,different sku received,3358.99,Processed
RET002926,ORD0030256,SKU004067,2026-04-05,changed my mind,350.91,Processed
RET002927,ORD0113546,SKU011619,2026-03-06,size too small,446.37,Processed
RET002928,ORD0007707,SKU008289,2026-03-17,different sku received,481.88,Processed
RET002929,ORD0104026,SKU007505,2026-01-25,SIZE PROBLEM,567.58,Processed
RET002930,ORD0074533,SKU005532,2025-02-06,Size issue,1409.05,Processed
RET002931,ORD0072556,SKU008117,2025-11-16,Quality issue,968.64,Processed
RET002932,ORD0071092,SKU007249,2026-03-15,wrong colour delivered,257.81,Processed
RET002933,ORD0076276,SKU004437,2025-11-10,Not what I ordered,532.0,Processed
RET002934,ORD0107360,SKU001589,2025-08-21,SIZE PROBLEM,1158.51,Pending
RET002935,ORD0082775,SKU010157,2026-07-24,ordered by mistake,159.87,Pending
RET002936,ORD0039805,SKU004394,2026-06-13,arrived damaged!!,743.17,Processed
RET002937,ORD0035343,SKU000401,2026-03-03,size too small,1113.64,Processed
RET002938,ORD0041464,SKU007242,2026-06-06,found cheaper elsewhere,313.48,Processed
RET002939,ORD0066976,SKU005055,2026-07-06,different sku received,834.51,Processed
RET002940,ORD0044852,SKU004143,2026-04-30,late delivery no longer needed,477.5,Processed
RET002941,ORD0096453,SKU010558,2026-03-09,wrong size ordered,748.97,Processed
RET002942,ORD0016753,SKU011407,2026-12-18,broken on arrival,949.01,Processed
RET002943,ORD0076905,SKU002357,2025-04-12,defective piece,528.02,Processed
RET002944,ORD0034825,SKU003829,2025-08-13,product was cracked,315.59,Processed
RET002945,ORD0007081,SKU006490,2025-11-19,size too small,326.51,Processed
RET002946,ORD0040121,SKU006907,2025-04-16,quality not as expected,421.09,Processed
RET002947,ORD0112195,SKU005185,2025-01-25,item damaged,428.37,Processed
RET002948,ORD0013112,SKU006529,2025-08-20,arrived after event,935.01,Processed
RET002949,ORD0116068,SKU003877,2025-05-07,Not what I ordered,954.4,Processed
RET002950,ORD0076742,SKU000423,2026-03-25,product was cracked,999.58,Processed
RET002951,ORD0112877,SKU002330,2025-07-17,not as described,1439.72,Processed
RET002952,ORD0108651,SKU007294,2025-07-24,didnt fit,294.53,Processed
RET002953,ORD0094605,SKU004960,2025-07-22,item damaged,1757.37,Processed
RET002954,ORD0044960,SKU008868,2026-10-21,arrived after event,1225.33,Pending
RET002955,ORD0114561,SKU010305,2026-02-19,fabric quality bad,1511.08,Processed
RET002956,ORD0024264,SKU000025,2025-09-21,product was cracked,676.76,Processed
RET002957,ORD0085088,SKU002126,2025-04-02,not durable,2972.89,Processed
RET002958,ORD0045022,SKU009217,2026-04-18,not as described,240.03,Processed
RET002959,ORD0038227,SKU011591,2025-11-30,packaging torn item broken,463.87,Processed
RET002960,ORD0028239,SKU009421,2026-01-18,battery dead,700.84,Processed
RET002961,ORD0050139,SKU011532,2025-11-16,Doesn't fit properly,221.69,Processed
RET002962,ORD0088024,SKU001965,2025-08-22,quality not as expected,480.13,Processed
RET002963,ORD0018314,SKU002546,2025-08-03,fabric quality bad,588.83,Processed
RET002964,ORD0038364,SKU008310,2026-04-04,Not what I ordered,341.96,Processed
RET002965,ORD0084112,SKU003985,2026-02-14,product was cracked,1012.95,Processed
RET002966,ORD0052709,SKU008199,2025-10-10,Quality issue,827.99,Processed
RET002967,ORD0099361,SKU001721,2026-06-26,fabric quality bad,1941.3,Processed
RET002968,ORD0051472,SKU000014,2025-12-07,size too small,392.36,Processed
RET002969,ORD0109846,SKU012247,2026-07-04,Damaged in transit,2457.12,Processed
RET002970,ORD0081363,SKU002810,2025-07-27,no longer needed,430.6,Processed
RET002971,ORD0067134,SKU007333,2026-06-23,late delivery no longer needed,458.21,Processed
RET002972,ORD0073006,SKU008190,2025-03-03,misleading description,490.63,Rejected
RET002973,ORD0091571,SKU009254,2025-08-25,not durable,48.22,Processed
RET002974,ORD0058653,SKU004510,2025-06-22,changed my mind,480.22,Rejected
RET002975,ORD0015313,SKU009792,2025-06-24,Damaged in transit,1203.34,Processed
RET002976,ORD0044245,SKU009014,2025-09-07,wrong colour delivered,1850.12,Processed
RET002977,ORD0020305,SKU009271,2026-02-13,device faulty,428.73,Processed
RET002978,ORD0087770,SKU012355,2026-01-24,dont want it now,527.66,Processed
RET002979,ORD0057993,SKU012276,2026-11-15,arrived after event,941.37,Processed
RET002980,ORD0050913,SKU009377,2026-03-20,ordered by mistake,390.58,Processed
RET002981,ORD0008479,SKU005927,2026-03-21,Damaged in transit,1462.27,Processed
RET002982,ORD0018610,SKU006862,2026-07-06,colour different from image,1365.0,Processed
RET002983,ORD0106022,SKU004963,2025-05-16,looks different online,799.71,Processed
RET002984,ORD0006258,SKU010024,2025-05-05,quality not as expected,932.68,Processed
RET002985,ORD0021398,SKU000500,2026-07-01,looks different online,1280.38,Processed
RET002986,ORD0091684,SKU011840,2026-11-12,no longer needed,680.92,Pending
RET002987,ORD0076860,SKU009340,2026-01-06,received different product,1410.45,Processed
RET002988,ORD0048997,SKU001990,2026-04-11,wrong colour delivered,3483.7,Processed
RET002989,ORD0024770,SKU006197,2025-06-24,Delayed delivery,818.39,Processed
RET002990,ORD0087777,SKU003645,2025-06-22,Quality issue,2856.8,Pending
RET002991,ORD0039049,SKU002871,2026-06-04,SIZE PROBLEM,1185.14,Processed
RET002992,ORD0078256,SKU008044,2025-05-01,SIZE PROBLEM,511.35,Processed
RET002993,ORD0104269,SKU000885,2026-01-19,Size issue,503.46,Processed
RET002994,ORD0008046,SKU010628,2025-05-09,looks different online,486.98,Processed
RET002995,ORD0113227,SKU007507,2026-12-21,found cheaper elsewhere,299.36,Pending
RET002996,ORD0017538,SKU008692,2025-06-19,poor quality,1551.02,Processed
RET002997,ORD0065835,SKU004039,2025-12-29,arrived damaged!!,3278.6,Processed
RET002998,ORD0090311,SKU012267,2025-09-21,different sku received,110.31,Processed
RET002999,ORD0047461,SKU001956,2025-05-23,device faulty,524.93,Processed
RET003000,ORD0102186,SKU005207,2025-09-29,item damaged,787.64,Processed
RET003001,ORD0080472,SKU010699,2025-01-10,broken on arrival,598.94,Processed
RET003002,ORD0105366,SKU010889,2026-07-03,found cheaper elsewhere,1197.86,Processed
RET003003,ORD0040133,SKU008448,2025-04-04,didnt fit,487.58,Processed
RET003004,ORD0028607,SKU009010,2026-05-11,item damaged,487.2,Processed
RET003005,ORD0111306,SKU000398,2026-05-02,wrong item sent,210.66,Processed
RET003006,ORD0011629,SKU000797,2025-05-03,arrived after event,504.98,Processed
RET003007,ORD0007707,SKU001183,2026-03-04,fabric quality bad,1840.47,Processed
RET003008,ORD0068289,SKU008326,2025-02-08,changed my mind,266.49,Processed
RET003009,ORD0085084,SKU009565,2025-01-30,different sku received,480.69,Processed
RET003010,ORD0092904,SKU010770,2025-08-10,wrong colour delivered,188.58,Processed
RET003011,ORD0058363,SKU003110,2025-07-09,SIZE PROBLEM,2255.5,Processed
RET003012,ORD0116818,SKU009384,2025-06-26,different from website photo,192.8,Processed
RET003013,ORD0009850,SKU010448,2026-02-27,didnt fit,238.03,Processed
RET003014,ORD0053278,SKU005452,2025-12-24,size too small,935.46,Processed
RET003015,ORD0015318,SKU001539,2025-03-31,product was cracked,116.51,Processed
RET003016,ORD0087922,SKU009435,2025-03-18,wrong colour delivered,367.21,Processed
RET003017,ORD0110082,SKU008398,2026-01-20,Not what I ordered,543.16,Processed
RET003018,ORD0051072,SKU012179,2025-03-20,too tight,463.37,Processed
RET003019,ORD0067316,SKU002319,2025-03-18,delivered too late,366.79,Processed
RET003020,ORD0108492,SKU009650,2025-04-07,wrong size ordered,489.64,Processed
RET003021,ORD0087570,SKU000649,2026-06-14,wrong size ordered,481.92,Processed
RET003022,ORD0105804,SKU001722,2025-11-20,too tight,267.77,Processed
RET003023,ORD0083271,SKU006344,2026-06-01,size chart misleading,634.34,Processed
RET003024,ORD0041066,SKU004467,2026-11-06,product was cracked,401.68,Rejected
RET003025,ORD0015192,SKU001814,2025-02-09,Quality issue,364.98,Processed
RET003026,ORD0042830,SKU000896,2026-05-05,product was cracked,376.32,Processed
RET003027,ORD0056472,SKU008165,2026-02-16,Damaged in transit,384.43,Processed
RET003028,ORD0100021,SKU008182,2026-06-04,misleading description,1662.54,Processed
RET003029,ORD0074395,SKU004122,2025-10-13,size too small,1293.11,Processed
RET003030,ORD0119540,SKU005963,2026-03-06,delivered too late,154.44,Processed
RET003031,ORD0037691,SKU005486,2026-11-30,Size issue,760.86,Processed
RET003032,ORD0031863,SKU004496,2025-09-19,wrong colour delivered,392.24,Processed
RET003033,ORD0106393,SKU011478,2025-03-06,dont want it now,1229.98,Processed
RET003034,ORD0064709,SKU011364,2025-05-07,ordered by mistake,926.86,Processed
RET003035,ORD0061548,SKU007648,2025-10-29,late delivery no longer needed,1045.71,Processed
RET003036,ORD0084498,SKU007575,2026-03-16,Not what I ordered,1435.87,Processed
RET003037,ORD0009582,SKU010564,2025-06-07,didnt fit,449.28,Processed
RET003038,ORD0049313,SKU010096,2025-01-04,packaging torn item broken,1115.07,Pending
RET003039,ORD0094104,SKU001833,2025-05-04,didnt fit,778.44,Processed
RET003040,ORD0047413,SKU006680,2025-11-10,item damaged,458.08,Processed
RET003041,ORD0038526,SKU009645,2026-03-02,too tight,1019.22,Processed
RET003042,ORD0085964,SKU003487,2025-12-12,packaging torn item broken,667.08,Processed
RET003043,ORD0052656,SKU004617,2025-08-08,not as described,682.65,Pending
RET003044,ORD0037242,SKU008638,2026-02-26,misleading description,421.92,Processed
RET003045,ORD0047606,SKU011842,2025-07-20,looks different online,928.36,Processed
RET003046,ORD0022841,SKU011419,2025-03-03,SIZE PROBLEM,1628.27,Processed
RET003047,ORD0068906,SKU011497,2025-10-23,cheap material,1177.6,Pending
RET003048,ORD0093931,SKU001085,2025-09-16,misleading description,1107.76,Processed
RET003049,ORD0097438,SKU002352,2025-06-06,Size issue,526.32,Rejected
RET003050,ORD0101012,SKU006552,2025-05-12,fabric quality bad,502.27,Processed
RET003051,ORD0065014,SKU008382,2025-03-14,product was cracked,531.01,Processed
RET003052,ORD0046671,SKU010676,2026-10-20,size chart misleading,88.01,Processed
RET003053,ORD0064461,SKU000800,2026-01-13,SIZE PROBLEM,259.5,Processed
RET003054,ORD0054351,SKU006883,2026-05-22,received different product,717.57,Processed
RET003055,ORD0068535,SKU008255,2026-02-25,cheap material,397.09,Processed
RET003056,ORD0085307,SKU002527,2026-05-23,Size issue,442.19,Processed
RET003057,ORD0083169,SKU006829,2025-07-14,Size issue,359.69,Processed
RET003058,ORD0006848,SKU011226,2026-04-17,Size issue,1488.46,Processed
RET003059,ORD0044782,SKU000302,2025-10-24,dont want it now,792.62,Processed
RET003060,ORD0065014,SKU003035,2025-03-11,device faulty,594.31,Processed
RET003061,ORD0111365,SKU007538,2026-03-23,wrong colour delivered,640.99,Processed
RET003062,ORD0111902,SKU006527,2025-10-12,wrong size ordered,1630.78,Processed
RET003063,ORD0102851,SKU003607,2026-04-30,Doesn't fit properly,360.62,Processed
RET003064,ORD0019639,SKU008623,2026-03-07,not as described,792.46,Processed
RET003065,ORD0032776,SKU009553,2026-04-25,Not what I ordered,202.28,Processed
RET003066,ORD0009301,SKU006428,2025-08-23,Delayed delivery,742.97,Processed
RET003067,ORD0017094,SKU004655,2025-02-11,received different product,269.98,Processed
RET003068,ORD0074069,SKU005037,2025-01-22,Quality issue,258.16,Processed
RET003069,ORD0044018,SKU009065,2025-03-07,dont want it now,2726.72,Processed
RET003070,ORD0077545,SKU010124,2025-04-07,fabric quality bad,321.18,Processed
RET003071,ORD0113227,SKU004363,2026-12-21,misleading description,318.6,Processed
RET003072,ORD0102846,SKU012224,2025-06-05,different from website photo,437.53,Processed
RET003073,ORD0070804,SKU010708,2026-05-24,ordered by mistake,473.86,Processed
RET003074,ORD0104764,SKU010465,2026-11-21,dont want it now,506.45,Processed
RET003075,ORD0032461,SKU004362,2026-10-21,didnt fit,271.77,Processed
RET003076,ORD0007306,SKU009035,2025-03-06,Not what I ordered,316.82,Pending
RET003077,ORD0080109,SKU004542,2026-03-06,battery dead,767.55,Processed
RET003078,ORD0055178,SKU002159,2025-03-18,Delayed delivery,396.64,Processed
RET003079,ORD0065181,SKU010983,2025-09-20,size too small,629.37,Processed
RET003080,ORD0094263,SKU009132,2025-05-08,arrived damaged!!,289.83,Processed
RET003081,ORD0015557,SKU003571,2025-05-19,Not what I ordered,361.64,Processed
RET003082,ORD0052706,SKU003422,2025-08-17,packaging torn item broken,273.98,Processed
